date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1997-09-10,1222.95,1223.61,1197.74,1198.72
1997-09-11,1199.71,1201.67,1179.41,1189.88
1997-09-12,1189.23,1213.13,1183.99,1210.18
1997-09-15,1211.17,1218.04,1204.29,1207.24
1997-09-16,1208.22,1243.25,1206.26,1239.33
1997-09-17,1236.71,1247.51,1234.09,1238.67
1997-09-18,1238.35,1257.46,1237.05,1240.94
1997-09-19,1240.94,1248.06,1234.78,1245.15
1997-09-22,1244.18,1259.4,1244.18,1251.95
1997-09-23,1250.66,1253.25,1239.32,1246.44
1997-09-24,1245.8,1257.46,1233.49,1236.73
1997-09-25,1235.76,1240.61,1225.07,1226.36
1997-09-26,1226.04,1239.32,1226.04,1235.11
1997-09-29,1235.11,1249.68,1231.22,1246.12
1997-09-30,1245.15,1250.66,1234.46,1236.73
1997-10-01,1238.02,1252.28,1236.73,1248.39
1997-10-02,1248.06,1256.16,1245.15,1255.51
1997-10-03,1255.84,1276.89,1246.12,1263.94
1997-10-06,1265.56,1271.06,1265.23,1270.09
1997-10-07,1271.71,1285.64,1266.53,1282.08
1997-10-08,1282.08,1284.99,1262.96,1272.68
1997-10-09,1272.68,1273.98,1255.84,1267.18
1997-10-10,1268.15,1271.06,1249.04,1265.56
1997-10-13,1265.56,1272.03,1261.99,1264.91
1997-10-14,1264.91,1271.71,1254.87,1266.53
1997-10-15,1264.26,1265.56,1254.22,1261.35
1997-10-16,1261.35,1271.39,1237.7,1243.53
1997-10-17,1242.56,1243.85,1212.11,1229.28
1997-10-20,1228.95,1247.74,1224.42,1246.77
1997-10-21,1248.39,1248.39,1246.44,1269.12
1997-10-22,1268.47,1270.42,1257.46,1262.32
1997-10-23,1260.7,1262.32,1227.66,1238.02
1997-10-24,1238.67,1255.51,1219.88,1223.12
1997-10-27,1221.18,1223.12,1132.43,1132.43
1997-10-28,1116.88,1208.87,1093.55,1197.86
1997-10-29,1197.21,1220.53,1187.17,1197.53
1997-10-30,1197.86,1203.04,1168.7,1170.0
1997-10-31,1168.7,1200.12,1152.83,1197.21
1997-11-03,1196.89,1228.31,1193.65,1225.39
1997-11-04,1225.71,1226.69,1213.08,1220.53
1997-11-05,1219.88,1238.67,1215.67,1227.01
1997-11-06,1226.36,1227.66,1214.38,1220.86
1997-11-07,1220.86,1221.83,1187.49,1206.6
1997-11-10,1204.98,1218.59,1195.59,1200.12
1997-11-11,1199.8,1208.55,1195.27,1200.45
1997-11-12,1200.45,1204.34,1173.24,1176.8
1997-11-13,1175.18,1195.27,1169.35,1191.05
1997-11-14,1192.03,1211.14,1185.55,1208.22
1997-11-17,1207.57,1236.73,1207.57,1230.9
1997-11-18,1230.9,1236.73,1217.94,1221.18
1997-11-19,1220.86,1232.84,1213.08,1227.98
1997-11-20,1228.31,1250.98,1227.01,1247.74
1997-11-21,1247.09,1258.11,1240.61,1256.16
1997-11-24,1254.87,1255.51,1227.01,1230.57
1997-11-25,1230.9,1240.61,1224.09,1233.16
1997-11-26,1233.49,1243.53,1229.28,1237.38
1997-11-28,1237.05,1246.77,1235.76,1237.38
1997-12-01,1238.02,1269.44,1237.38,1269.12
1997-12-02,1269.77,1272.36,1259.4,1263.29
1997-12-03,1262.96,1274.63,1253.9,1266.53
1997-12-04,1266.53,1277.22,1260.05,1265.88
1997-12-05,1264.91,1281.43,1247.74,1278.19
1997-12-08,1278.19,1282.4,1270.42,1275.6
1997-12-09,1275.92,1277.87,1262.64,1268.47
1997-12-10,1268.15,1269.44,1248.39,1257.13
1997-12-11,1256.49,1257.13,1232.52,1236.73
1997-12-12,1228.95,1250.33,1226.69,1238.02
1997-12-15,1238.67,1253.25,1232.19,1248.06
