name,sharpe,bear,group
Balanced,0.545,-0.836,bench
MAN AHL,0.509,-0.384,CTA
Aspect,0.629,-0.469,CTA
Metori,0.686,-0.582,CTA
AQR,0.773,-0.415,CTA
Dunn,0.663,-0.544,CTA
BSF Event Driven,0.554,-0.761,LS
Jupiter GEAR,0.811,-0.74,LS
Ardtur,0.563,-0.703,LS
Schroder Egerton,0.598,-0.816,LS
HSBC GH,0.836,-0.769,LS
QIS US 1Y Vol,0.674,-0.253,LongVol
QIS EU 1Y Vol,0.429,-0.325,LongVol
QIS XA Proxy Put,0.18,-0.493,LongVol
QIS Calendar Put Ratio,0.107,-0.564,LongVol
QIS US Tail Hedge,0.411,-0.575,LongVol
opt no floor,0.869,-0.631,opt
opt coverage 40%,0.893,-0.604,opt
Equal weight 1/15,0.714,-0.739,ew
