,sharpe,bear_sharpe,convexity_premium,rho,beta_bear,beta_normal,beta_bull,beta_total,idio_vol,ann_vol,group
MAN AHL,0.203,0.147,0.021,-0.112,-1.718,0.628,-1.63,-0.151,0.136,0.148,CTA
Aspect,0.348,0.08,-0.024,-0.057,-0.432,0.41,-0.609,-0.072,0.128,0.132,CTA
Metori,0.409,0.1,0.021,-0.016,-1.0,0.305,-0.376,-0.008,0.083,0.088,CTA
AQR,0.335,0.408,0.066,-0.343,-0.788,0.081,-0.948,-0.315,0.088,0.096,CTA
Dunn,0.346,0.121,-0.008,-0.087,-0.547,0.312,-0.746,-0.079,0.097,0.1,CTA
BSF Event Driven,0.434,-0.404,0.069,0.644,0.668,0.203,0.295,0.294,0.035,0.048,LS
Jupiter GEAR,0.657,0.076,-0.104,-0.089,0.287,-0.076,-0.319,-0.042,0.051,0.053,LS
Ardtur,0.504,-0.527,-0.018,0.7,1.563,1.258,1.373,1.049,0.11,0.156,LS
Schroder Egerton,0.596,-0.725,-0.126,0.824,1.056,0.903,0.079,0.857,0.059,0.109,LS
HSBC GH,1.471,-0.316,-0.051,0.594,0.145,0.209,0.007,0.191,0.027,0.034,LS
QIS US 1Y Vol,0.013,0.656,0.112,-0.643,-1.755,-0.357,-0.43,-0.617,0.07,0.1,LongVol
QIS EU 1Y Vol,-0.22,0.61,0.07,-0.681,-1.346,-0.497,-0.506,-0.653,0.071,0.1,LongVol
QIS XA Proxy Put,-0.364,0.311,0.047,-0.383,-1.983,-0.294,0.071,-0.368,0.082,0.1,LongVol
QIS Calendar Put Ratio,-0.434,0.164,0.026,-0.246,-2.091,0.106,-0.087,-0.236,0.085,0.1,LongVol
QIS US Tail Hedge,-0.039,0.13,-0.036,-0.204,-2.617,0.039,0.038,-0.195,0.078,0.1,LongVol
