date,QIS Calendar Put Ratio,QIS US 1Y Vol,QIS EU 1Y Vol,QIS XA Proxy Put,QIS US Tail Hedge
2000-04-04,,,,100.0,
2000-04-05,,,,100.1107,
2000-04-06,,,,100.2134,
2000-04-07,,,,100.0892,
2000-04-10,,,,99.9912,
2000-04-11,,,,100.0408,
2000-04-12,,,,100.0409,
2000-04-13,,,,100.144,
2000-04-14,,,,100.6675,
2000-04-17,,,,101.2845,
2000-04-18,,,,100.8757,
2000-04-19,,,,100.5042,
2000-04-20,,,,100.4797,
2000-04-21,,,,100.4797,
2000-04-24,,,,100.4797,
2000-04-25,,,,100.1131,
2000-04-26,,,,100.0729,
2000-04-27,,,,100.1929,
2000-04-28,,,,99.6116,
2000-05-01,,,,99.6116,
2000-05-02,,,,98.9357,
2000-05-03,,,,99.0432,
2000-05-04,,,,99.1206,
2000-05-05,,,,99.0554,
2000-05-08,,,,99.1471,
2000-05-09,,,,99.0578,
2000-05-10,,,,99.1881,
2000-05-11,,,,99.1596,
2000-05-12,,,,98.8471,
2000-05-15,,,,98.9144,
2000-05-16,,,,98.6862,
2000-05-17,,,,98.7028,
2000-05-18,,,,98.7718,
2000-05-19,,,,98.8484,
2000-05-22,,,,98.9712,
2000-05-23,,,,98.9474,
2000-05-24,,,,98.9672,
2000-05-25,,,,99.0074,
2000-05-26,,,,99.0514,
2000-05-29,,,,99.0514,
2000-05-30,,,,99.0911,
2000-05-31,,,,98.998,
2000-06-01,,,,98.9634,
2000-06-02,,,,99.0451,
2000-06-05,,,,99.0163,
2000-06-06,,,,99.0809,
2000-06-07,,,,99.24,
2000-06-08,,,,99.1023,
2000-06-09,,,,99.077,
2000-06-12,,,,99.1048,
2000-06-13,,,,98.9932,
2000-06-14,,,,98.9042,
2000-06-15,,,,98.8669,
2000-06-16,,,,98.8913,
2000-06-19,,,,98.9622,
2000-06-20,,,,98.9426,
2000-06-21,,,,98.7786,
2000-06-22,,,,98.8168,
2000-06-23,,,,98.861,
2000-06-26,,,,98.7793,
2000-06-27,,,,98.817,
2000-06-28,,,,98.733,
2000-06-29,,,,98.7715,
2000-06-30,,,,98.7221,
2000-07-03,,,,98.632,
2000-07-04,,,,98.6056,
2000-07-05,,,,98.631,
2000-07-06,,,,98.6259,
2000-07-07,,,,98.6309,
2000-07-10,,,,98.6156,
2000-07-11,,,,98.6,
2000-07-12,,,,98.5736,
2000-07-13,,,,98.5854,
2000-07-14,,,,98.5709,
2000-07-17,,,,98.5472,
2000-07-18,,,,98.5493,
2000-07-19,,,,98.5522,
2000-07-20,,,,98.5573,
2000-07-21,,,,98.5478,
2000-07-24,,,,98.5487,
2000-07-25,,,,98.5585,
2000-07-26,,,,98.5588,
2000-07-27,,,,98.5646,
2000-07-28,,,,98.5646,
2000-07-31,,,,98.5742,
2000-08-01,,,,98.5743,
2000-08-02,,,,98.5629,
2000-08-03,,,,98.5792,
2000-08-04,,,,98.5658,
2000-08-07,,,,98.5532,
2000-08-08,,,,98.5737,
2000-08-09,,,,98.5678,
2000-08-10,,,,98.556,
2000-08-11,,,,98.5462,
2000-08-14,,,,98.5329,
2000-08-15,,,,98.5153,
2000-08-16,,,,98.5145,
2000-08-17,,,,98.5036,
2000-08-18,,,,98.5068,
2000-08-21,,,,98.503,
2000-08-22,,,,98.4933,
2000-08-23,,,,98.5053,
2000-08-24,,,,98.4981,
2000-08-25,,,,98.5025,
2000-08-28,,,,98.5025,
2000-08-29,,,,98.4736,
2000-08-30,,,,98.4745,
2000-08-31,,,,98.469,
2000-09-01,,,,98.4764,
2000-09-04,,,,98.4692,
2000-09-05,,,,98.4561,
2000-09-06,,,,98.4417,
2000-09-07,,,,98.4438,
2000-09-08,,,,98.4407,
2000-09-11,,,,98.4297,
2000-09-12,,,,98.4193,
2000-09-13,,,,98.431,
2000-09-14,,,,98.4404,
2000-09-15,,,,98.4337,
2000-09-18,,,,98.4562,
2000-09-19,,,,98.4605,
2000-09-20,,,,98.4702,
2000-09-21,,,,98.4856,
2000-09-22,,,,98.4967,
2000-09-25,,,,98.4858,
2000-09-26,,,,98.5051,
2000-09-27,,,,98.4949,
2000-09-28,,,,98.5442,
2000-09-29,,,,98.5251,
2000-10-02,,,,98.5087,
2000-10-03,,,,98.5317,
2000-10-04,,,,98.4968,
2000-10-05,,,,98.4817,
2000-10-06,,,,98.5133,
2000-10-09,,,,98.5586,
2000-10-10,,,,98.5123,
2000-10-11,,,,98.5594,
2000-10-12,,,,98.5122,
2000-10-13,,,,98.6389,
2000-10-16,,,,98.611,
2000-10-17,,,,98.8074,
2000-10-18,,,,98.9152,
2000-10-19,,,,98.8257,
2000-10-20,,,,98.7805,
2000-10-23,,,,98.7913,
2000-10-24,,,,98.7612,
2000-10-25,,,,98.9324,
2000-10-26,,,,99.0598,
2000-10-27,,,,99.0638,
2000-10-30,,,,99.0045,
2000-10-31,,,,98.8476,
2000-11-01,,,,98.8068,
2000-11-02,,,,98.9162,
2000-11-03,,,,98.8586,
2000-11-06,,,,98.9729,
2000-11-07,,,,98.8206,
2000-11-08,,,,98.6969,
2000-11-09,,,,98.6928,
2000-11-10,,,,98.7336,
2000-11-13,,,,99.0458,
2000-11-14,,,,98.6962,
2000-11-15,,,,98.5473,
2000-11-16,,,,98.5833,
2000-11-17,,,,98.6166,
2000-11-20,,,,98.4145,
2000-11-21,,,,98.3458,
2000-11-22,,,,98.4772,
2000-11-23,,,,98.4892,
2000-11-24,,,,98.4193,
2000-11-27,,,,98.3674,
2000-11-28,,,,98.5303,
2000-11-29,,,,98.5886,
2000-11-30,,,,98.6881,
2000-12-01,,,,98.5965,
2000-12-04,,,,98.5829,
2000-12-05,,,,98.6835,
2000-12-06,,,,98.7131,
2000-12-07,,,,98.6716,
2000-12-08,,,,98.5567,
2000-12-11,,,,98.4497,
2000-12-12,,,,98.5522,
2000-12-13,,,,98.4518,
2000-12-14,,,,98.5554,
2000-12-15,,,,98.6297,
2000-12-18,,,,98.6099,
2000-12-19,,,,98.594,
2000-12-20,,,,98.8483,
2000-12-21,,,,99.0528,
2000-12-22,,,,99.0572,
2000-12-25,,,,99.0572,
2000-12-26,,,,99.0572,
2000-12-27,,,,98.7361,
2000-12-28,,,,98.5164,
2000-12-29,,,,98.5833,
2001-01-01,,,,98.5833,
2001-01-02,,,,99.2711,
2001-01-03,,,,99.514,
2001-01-04,,,,99.2171,
2001-01-05,,,,99.2358,
2001-01-08,,,,99.0807,
2001-01-09,,,,99.1481,
2001-01-10,,,,99.0023,
2001-01-11,,,,99.0207,
2001-01-12,,,,98.7166,
2001-01-15,,,,98.6935,
2001-01-16,,,,98.9549,
2001-01-17,,,,99.002,
2001-01-18,,,,98.7869,
2001-01-19,,,,98.5477,
2001-01-22,,,,98.4929,
2001-01-23,,,,98.3923,
2001-01-24,,,,98.3431,
2001-01-25,,,,98.4522,
2001-01-26,,,,98.3683,
2001-01-29,,,,98.391,
2001-01-30,,,,98.4678,
2001-01-31,,,,98.5669,
2001-02-01,,,,98.6712,
2001-02-02,,,,98.5227,
2001-02-05,,,,98.6758,
2001-02-06,,,,98.5807,
2001-02-07,,,,98.5109,
2001-02-08,,,,98.3791,
2001-02-09,,,,98.449,
2001-02-12,,,,98.5406,
2001-02-13,,,,98.5219,
2001-02-14,,,,98.5199,
2001-02-15,,,,98.5259,
2001-02-16,,,,98.6056,
2001-02-19,,,,98.5932,
2001-02-20,,,,98.6072,
2001-02-21,,,,98.6731,
2001-02-22,,,,98.721,
