date,Balanced,3m rf,PutWrite,SG Trend,LYNX,MAN AHL,Winton,Quantica,Quantica2,AQR,Aspect,Crabel,Tulip,Dunn,Metori,Graham Macro,Ardtur,BSF Event Driven,Jupiter GEAR,KLS Arete Macro,Schroder Egerton,Antarctica,HSBC GH,DNCA Alpha Bonds,Seligman Tech,Lazard Rathmore,Brevan Howard ARGB
1959-01-02,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-05,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-06,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-07,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-08,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-09,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-12,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-13,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-14,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-15,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-16,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-19,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-20,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-21,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-22,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-23,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-26,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-27,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-28,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-29,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-30,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-02,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-03,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-04,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-05,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-06,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-09,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-10,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-11,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-12,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-13,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-16,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-17,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-18,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-19,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-20,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-23,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-24,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-25,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-26,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-27,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-02,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-03,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-04,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-05,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-06,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-09,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-10,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-11,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-12,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-13,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-16,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-17,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-18,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-19,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-20,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-23,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-24,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-25,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-26,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-27,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-30,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-31,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-01,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-02,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-03,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-06,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-07,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-08,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-09,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-10,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-13,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-14,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-15,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-16,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-17,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-20,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-21,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-22,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-23,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-24,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-27,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-28,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-29,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-30,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-01,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-04,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-05,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-06,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-07,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-08,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-11,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-12,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-13,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-14,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-15,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-18,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-19,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-20,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-21,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-22,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-25,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-26,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-27,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-28,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-29,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-01,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-02,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-03,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-04,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-05,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-08,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-09,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-10,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-11,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-12,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-15,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-16,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-17,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-18,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-19,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-22,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-23,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-24,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-25,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-26,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-29,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-30,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-01,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-02,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-03,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-06,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-07,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-08,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-09,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-10,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-13,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-14,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-15,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-16,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-17,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-20,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-21,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-22,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-23,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-24,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-27,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-28,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-29,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-30,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-31,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-03,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-04,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-05,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-06,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-07,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-10,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-11,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-12,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-13,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-14,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-17,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-18,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-19,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-20,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-21,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-24,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-25,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-26,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-27,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-28,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-31,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-01,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-02,,4.01,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-03,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-04,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-07,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-08,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-09,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-10,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-11,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-14,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-15,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-16,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-17,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-18,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-21,,3.89,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-22,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-23,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-24,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-25,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-28,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-29,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-30,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-01,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-02,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-05,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-06,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-07,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,
