,mixture|no floor,mixture|coverage 25%,mixture|coverage 40%,mixture|coverage 60%,mixture|coverage max,bear|no floor,bear|coverage 25%,bear|coverage 40%,bear|coverage 60%,bear|coverage max,normal|no floor,normal|coverage 25%,normal|coverage 40%,normal|coverage 60%,normal|coverage max,sample|no floor,sample|coverage 25%,sample|coverage 40%,sample|coverage 60%,sample|coverage max,benchmark,equal weight
MAN AHL,0.097,0.097,0.085,0.019,0.0,0.037,0.035,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
Aspect,0.042,0.042,0.042,0.023,0.0,0.023,0.025,0.032,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
Metori,0.094,0.094,0.081,0.0,0.0,0.073,0.066,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
AQR,0.18,0.18,0.195,0.285,0.0,0.054,0.073,0.128,0.291,0.017,0.017,0.084,0.129,0.201,0.0,0.3,0.3,0.3,0.371,0.017,0.0,0.067
Dunn,0.07,0.07,0.066,0.011,0.0,0.038,0.04,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
BSF Event Driven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
Jupiter GEAR,0.097,0.097,0.114,0.031,0.0,0.04,0.062,0.095,0.063,0.0,0.298,0.263,0.234,0.106,0.0,0.296,0.296,0.296,0.053,0.0,0.0,0.067
Ardtur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.067
Schroder Egerton,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
HSBC GH,0.109,0.109,0.046,0.0,0.0,0.313,0.262,0.128,0.0,0.0,0.623,0.325,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
QIS US 1Y Vol,0.224,0.224,0.273,0.42,0.905,0.111,0.151,0.257,0.309,0.983,0.062,0.225,0.316,0.464,0.905,0.404,0.404,0.404,0.575,0.983,0.0,0.067
QIS EU 1Y Vol,0.038,0.038,0.092,0.21,0.095,0.058,0.099,0.181,0.338,0.0,0.0,0.103,0.163,0.224,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.067
QIS XA Proxy Put,0.0,0.0,0.0,0.0,0.0,0.061,0.055,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
QIS Calendar Put Ratio,0.0,0.0,0.0,0.0,0.0,0.056,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
QIS US Tail Hedge,0.048,0.048,0.006,0.0,0.0,0.128,0.095,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067
