ticker,group_data,names
ES1 Index,Equities,S&p_500
NQ1 Index,Equities,Nasdaq
RTY1 Index,Equities,Rus2000
DM1 Index,Equities,Djia
MES1 Index,Equities,Msci_em
VG1 Index,Equities,Estoxx50
GX1 Index,Equities,Dax
CF1 Index,Equities,Cac
EO1 Index,Equities,Aex
Z 1 Index,Equities,Ftse100
SM1 Index,Equities,Smi
QC1 Index,Equities,Omx30
NO1 Index,Equities,Nikkei225
TP1 Index,Equities,Topix
XP1 Index,Equities,Asx200
PT1 Index,Equities,S&p/tsx60
TWT1 Index,Equities,Taiex
HI1 Index,Equities,Hang_seng
HC1 Index,Equities,Hscei
XU1 Index,Equities,China_a50
JGS1 Index,Equities,Nifty_50
TU1 Comdty,Bonds,Ust_2y
FV1 Comdty,Bonds,Ust_5y
TY1 Comdty,Bonds,Ust_10y
UXY1 Comdty,Bonds,Ust_10y_ultra
US1 Comdty,Bonds,Ust_bond
WN1 Comdty,Bonds,Ust_ultra
DU1 Comdty,Bonds,Ger_2y
OE1 Comdty,Bonds,Ger_5y
RX1 Comdty,Bonds,Ger_10y
UB1 Comdty,Bonds,Ger_30y
G 1 Comdty,Bonds,Gilt
JB1 Comdty,Bonds,Jb_10y
OAT1 Comdty,Bonds,Oat_10y
CN1 Comdty,Bonds,Can_10y
XM1 Comdty,Bonds,Aus_10y
IK1 Comdty,Bonds,Btp_10y
SFR5 Comdty,STIR,Sofr_3m
SFI5 Comdty,STIR,Sonia_3m
ER4 Comdty,STIR,Euribor_3m
IR4 Comdty,STIR,Aus_90d
EC1 Curncy,FX,Eurusd
BP1 Curncy,FX,Gbpusd
SF1 Curncy,FX,Chfusd
CD1 Curncy,FX,Cadusd
JY1 Curncy,FX,Jpyusd
AD1 Curncy,FX,Audusd
NV1 Curncy,FX,Nzdusd
SE1 Curncy,FX,Sekusd
NO1 Curncy,FX,Nokusd
PE1 Curncy,FX,Mxnusd
CL1 Comdty,Energy,Wti
CO1 Comdty,Energy,Brent
HO1 Comdty,Energy,Nyh_ulsd
XB1 Comdty,Energy,Gasoline
QS1 Comdty,Energy,Gasoil
CUA1 Comdty,Energy,Ethanol
NG1 Comdty,Energy,Nat_gas
GC1 Comdty,Metals,Gold
HG1 Comdty,Metals,Copper
SI1 Comdty,Metals,Silver
PL1 Comdty,Metals,Platinum
PA1 Comdty,Metals,Palladium
SCO1 Comdty,Metals,Tsi_iron_ore
C 1 Comdty,Agriculture,Corn
W 1 Comdty,Agriculture,Wheat_chicagoe
KW1 Comdty,Agriculture,Wheat_kansas
MWE1 Comdty,Agriculture,Wheat_minneapolis
CA1 Comdty,Agriculture,Wheat_mil
S 1 Comdty,Agriculture,Soybeans
SM1 Comdty,Agriculture,Soyb_meal
BO1 Comdty,Agriculture,Soyb_oil
RS1 Comdty,Agriculture,Canola
IJ1 Comdty,Agriculture,Rapeseed
LC1 Comdty,Agriculture,Live_cattle
LH1 Comdty,Agriculture,Lean_hogs
FC1 Comdty,Agriculture,Feeder_cattle
SB1 Comdty,Agriculture,Sugar_#11
QW1 Comdty,Agriculture,White_sugar
KC1 Comdty,Agriculture,Coffee_c
DF1 Comdty,Agriculture,Robusta
CC1 Comdty,Agriculture,Cocoa
QC1 Comdty,Agriculture,London_cocoa
CT1 Comdty,Agriculture,Cotton #2
