date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1975-01-03,2258.74,2258.74,2194.39,2248.45
1975-01-06,2245.87,2245.87,2123.6,2244.59
1975-01-07,2239.44,2239.44,2168.65,2231.72
1975-01-08,2316.66,2316.66,2265.18,2283.2
1975-01-09,2305.08,2305.08,2278.05,2294.78
1975-01-10,2333.39,2333.39,2271.61,2333.39
1975-01-13,2329.53,2329.53,2303.79,2298.64
1975-01-14,2279.34,2279.34,2271.61,2298.64
1975-01-15,2308.94,2308.94,2290.92,2281.91
1975-01-16,2278.05,2278.05,2247.16,2253.6
1975-01-17,2249.73,2249.73,2221.42,2214.98
1975-01-20,2263.89,2263.89,2234.29,2267.75
1975-01-21,,,,2235.58
1975-01-22,2263.89,2263.89,2261.32,2243.3
1975-01-23,2278.05,2278.05,2278.05,2270.33
1975-01-24,2316.66,2316.66,2288.34,2310.22
1975-01-27,2316.66,2316.66,2316.66,2275.47
1975-01-28,2281.91,2281.91,2257.46,2265.18
1975-01-29,2303.79,2303.79,2283.2,2305.08
1975-01-30,2278.05,2278.05,2278.05,2262.6
1975-01-31,2263.87,2263.87,2246.11,2258.8
1975-02-03,2280.37,2280.37,2260.07,2262.6
1975-02-04,2252.45,2252.45,2228.34,2249.91
1975-02-05,2251.18,2251.18,2239.76,2242.3
1975-02-06,2242.3,2242.3,2214.38,2237.22
1975-02-07,2251.18,2251.18,2238.49,2249.91
1975-02-10,2238.49,2238.49,2227.07,2228.34
1975-02-11,2247.38,2247.38,2234.69,2243.57
1975-02-13,2367.93,2367.93,2286.72,2357.78
1975-02-14,2370.47,2370.47,2315.9,2346.36
1975-02-18,2356.51,2356.51,2305.75,2352.7
1975-02-19,2385.7,2385.7,2353.97,2355.24
1975-02-20,2390.77,2390.77,2352.7,2381.89
1975-02-21,2392.04,2392.04,2357.78,2360.32
1975-02-24,2379.35,2379.35,2367.93,2371.74
1975-02-25,2398.39,2398.39,2336.21,2340.01
1975-02-26,2356.51,2356.51,2324.78,2350.16
1975-02-27,2346.36,2346.36,2301.94,2315.9
1975-02-28,2322.25,2322.25,2296.87,2322.25
1975-03-03,2329.86,2329.86,2312.09,2317.17
1975-03-04,2303.21,2303.21,2246.11,2246.11
1975-03-05,2285.45,2285.45,2238.49,2267.68
1975-03-06,2301.94,2301.94,2281.64,2291.79
1975-03-07,2277.83,2277.83,2243.57,2258.8
1975-03-10,2256.26,2256.26,2234.69,2248.65
1975-03-11,2289.25,2289.25,2267.68,2284.18
1975-03-12,2267.68,2267.68,2253.72,2260.07
1975-03-13,2284.18,2284.18,2270.22,2277.83
1975-03-14,2268.95,2268.95,2260.07,2267.68
1975-03-17,2275.29,2275.29,2253.72,2271.49
1975-03-18,2277.83,2277.83,2262.6,2266.41
1975-03-19,2276.56,2276.56,2265.14,2274.03
1975-03-20,2268.95,2268.95,2220.73,2227.07
1975-03-21,2246.11,2246.11,2227.07,2228.34
1975-03-24,2248.65,2248.65,2223.27,2232.15
1975-03-25,2248.65,2248.65,2229.61,2235.96
1975-03-26,2261.34,2261.34,2239.76,2260.07
1975-03-27,2258.8,2258.8,2225.8,2233.42
1975-03-31,2235.91,2235.91,2214.75,2233.42
1975-04-01,2235.91,2235.91,2219.73,2228.44
1975-04-02,2238.39,2238.39,2213.51,2216.0
1975-04-03,2208.53,2208.53,2189.87,2203.56
1975-04-04,2188.62,2188.62,2156.27,2162.5
1975-04-07,2173.69,2173.69,2152.54,2166.23
1975-04-08,2184.89,2184.89,2169.96,2171.21
1975-04-09,2173.69,2173.69,2156.27,2171.21
1975-04-10,2161.25,2161.25,2141.34,2153.79
1975-04-11,2156.27,2156.27,2142.59,2148.81
1975-04-14,2111.48,2111.48,2062.96,2067.93
1975-04-15,2056.73,2056.73,2019.41,2048.03
1975-04-16,2082.86,2082.86,2066.69,2071.67
1975-04-17,2117.7,2117.7,2082.86,2108.99
1975-04-18,2127.66,2127.66,2095.31,2102.77
1975-04-21,2070.42,2070.42,2051.76,2061.71
1975-04-22,2090.33,2090.33,2053.0,2074.15
1975-04-23,2108.99,2108.99,2076.64,2100.28
1975-04-24,2096.55,2096.55,2071.67,2077.89
1975-04-25,2080.38,2080.38,2065.44,2075.4
1975-04-28,2086.6,2086.6,2069.18,2069.18
1975-04-29,2095.31,2095.31,2081.62,2087.84
1975-04-30,2090.33,2090.33,2071.67,2075.4
1975-05-01,2077.89,2077.89,2061.71,2071.67
1975-05-02,2071.67,2071.67,2053.0,2053.0
1975-05-05,2043.05,2043.05,2033.09,2034.34
1975-05-06,2055.49,2055.49,2041.8,2051.76
1975-05-07,2071.67,2071.67,2054.25,2066.69
1975-05-08,2084.11,2084.11,2070.42,2081.62
1975-05-09,2074.15,2074.15,2064.2,2072.91
1975-05-12,2065.44,2065.44,2060.47,2064.2
1975-05-13,2075.4,2075.4,2065.44,2074.15
1975-05-14,2131.39,2131.39,2080.38,2106.5
1975-05-15,2074.15,2074.15,2061.71,2064.2
1975-05-16,2096.55,2096.55,2067.93,2076.64
1975-05-19,2107.75,2107.75,2085.35,2100.28
1975-05-20,2096.55,2096.55,2080.38,2092.82
1975-05-21,2150.05,2150.05,2099.04,2142.59
1975-05-22,2201.07,2201.07,2156.27,2158.76
1975-05-23,2176.18,2176.18,2156.27,2173.69
1975-05-27,2160.01,2160.01,2140.1,2140.1
1975-05-28,2145.08,2145.08,2110.24,2115.21
1975-05-29,2112.73,2112.73,2076.64,2085.35
1975-05-30,2078.0,2078.0,2062.06,2071.87
1975-06-02,2028.96,2028.96,1990.95,2025.28
1975-06-03,2057.16,2057.16,2039.99,2053.48
1975-06-04,2053.48,2053.48,2031.41,2033.86
1975-06-05,2062.06,2062.06,2031.41,2052.25
1975-06-06,2054.7,2054.7,2044.9,2049.8
1975-06-09,2065.74,2065.74,2047.35,2065.74
1975-06-10,2063.29,2063.29,2047.35,2051.03
1975-06-11,2052.25,2052.25,2036.31,2048.57
1975-06-12,2054.7,2054.7,2041.22,2041.22
1975-06-13,2041.22,2041.22,2031.41,2033.86
1975-06-16,2035.09,2035.09,2010.57,2015.47
1975-06-17,2037.54,2037.54,2021.6,2035.09
1975-06-18,2031.41,2031.41,2022.83,2027.73
