,ES1 Index,NQ1 Index,RTY1 Index,DM1 Index,MES1 Index,VG1 Index,GX1 Index,CF1 Index,EO1 Index,Z 1 Index,SM1 Index,QC1 Index,NO1 Index,TP1 Index,XP1 Index,PT1 Index,TWT1 Index,HI1 Index,HC1 Index,XU1 Index,JGS1 Index,TU1 Comdty,FV1 Comdty,TY1 Comdty,UXY1 Comdty,US1 Comdty,WN1 Comdty,DU1 Comdty,OE1 Comdty,RX1 Comdty,UB1 Comdty,G 1 Comdty,JB1 Comdty,OAT1 Comdty,CN1 Comdty,XM1 Comdty,IK1 Comdty,SFR5 Comdty,SFI5 Comdty,ER4 Comdty,IR4 Comdty,EC1 Curncy,BP1 Curncy,SF1 Curncy,CD1 Curncy,JY1 Curncy,AD1 Curncy,NV1 Curncy,SE1 Curncy,NO1 Curncy,PE1 Curncy,CL1 Comdty,CO1 Comdty,HO1 Comdty,XB1 Comdty,QS1 Comdty,CUA1 Comdty,NG1 Comdty,GC1 Comdty,HG1 Comdty,SI1 Comdty,PL1 Comdty,PA1 Comdty,SCO1 Comdty,C 1 Comdty,W 1 Comdty,KW1 Comdty,MWE1 Comdty,CA1 Comdty,S 1 Comdty,SM1 Comdty,BO1 Comdty,RS1 Comdty,IJ1 Comdty,LC1 Comdty,LH1 Comdty,FC1 Comdty,SB1 Comdty,QW1 Comdty,KC1 Comdty,DF1 Comdty,CC1 Comdty,QC1 Comdty,CT1 Comdty
1959-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16071.937499999993,58172.56250000024,,,,352.4374999999959,,,,,,,,,,,,,,
1959-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15837.062499999993,58324.50000000024,,,,352.4374999999959,,,,,,,,,,,,,,
1959-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15887.374999999996,58438.50000000025,,,,353.4999999999959,,,,,,,,,,,,,,
1959-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15753.187499999996,58248.56250000025,,,,351.1874999999959,,,,,,,,,,,,,,
1959-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15870.624999999996,57906.56250000025,,,,351.437499999996,,,,,,,,,,,,,,
1959-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15971.249999999993,57944.562500000255,,,,353.9374999999959,,,,,,,,,,,,,,
1959-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15853.812499999993,58058.562500000255,,,,357.6249999999959,,,,,,,,,,,,,,
1959-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16071.937499999993,57906.56250000025,,,,362.9999999999959,,,,,,,,,,,,,,
1959-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16021.562499999993,57792.562500000255,,,,363.8124999999959,,,,,,,,,,,,,,
